repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
pydantic/pydantic,AdolfoVillalobos,2024/9/1,278,3,1,2,0,2,16,3,1,3,TRUE,2024/10/1,Disengaged
pydantic/pydantic,AdolfoVillalobos,2024/10/1,185,11,3,2,0,2,16,3,1,3,TRUE,2024/10/1,Disengaged
godotengine/godot,AdriaandeJongh,2024/4/1,4,3,0,1,0,1,0,0,0,5,TRUE,2025/3/1,Engaged
godotengine/godot,AdriaandeJongh,2024/7/1,7,4,0,2,0,2,0,0,0,5,TRUE,2025/3/1,Engaged
godotengine/godot,AdriaandeJongh,2024/9/1,7,6,0,2,2,3,0,0,0,5,TRUE,2025/3/1,Engaged
godotengine/godot,AdriaandeJongh,2024/11/1,0,0,0,0,2,0,0,0,0,5,TRUE,2025/3/1,Engaged
godotengine/godot,AdriaandeJongh,2025/3/1,0,0,0,0,1,0,0,0,0,5,TRUE,2025/3/1,Engaged
sveltejs/svelte,AdrianGonz97,2024/3/1,0,0,1,0,0,0,29,15,1,3,TRUE,2024/8/1,Disengaged
sveltejs/svelte,AdrianGonz97,2024/5/1,0,0,1,0,0,0,75,46,1,3,TRUE,2024/8/1,Disengaged
storybookjs/storybook,AdrianGonz97,2024/8/1,0,0,0,0,1,0,0,0,0,3,TRUE,2024/8/1,Disengaged
godotengine/godot,AeioMuch,2024/2/1,31,12,0,1,0,1,0,0,0,13,TRUE,2025/4/1,Engaged
godotengine/godot,AeioMuch,2024/3/1,92,12,0,1,0,1,0,0,0,13,TRUE,2025/4/1,Engaged
godotengine/godot,AeioMuch,2024/4/1,100,8,0,2,3,2,0,0,0,13,TRUE,2025/4/1,Engaged
